flip	34	14
flip	35	2
flip	34	14
flip	34	14
flip	34	14
flip	34	14
flip	34	14
flip	34	14
flip	34	14
flip	35	2
flip	34	14
flip	34	14
flip	34	14
flip	34	14
flip	34	14
flip	34	14
flip	34	14
flip	33	0
flip	35	2
flip	35	2
flip	35	2
flip	35	2
flip	35	2
flip	35	2
flip	35	2
flip	34	14
flip	34	14
flip	34	14
flip	34	14
flip	34	14
flip	34	14
flip	34	14
flip	33	0
flip	35	2
flip	35	2
flip	35	2
flip	35	2
flip	35	2
flip	35	2
flip	35	2
flip	34	14
flip	34	14
flip	34	14
flip	34	14
flip	34	14
flip	34	14
flip	34	14
flip	33	0
flip	35	2
flip	35	2
flip	35	2
flip	35	2
flip	35	2
flip	35	2
flip	35	2
flip	34	14
flip	34	14
flip	34	14
flip	34	14
flip	34	14
flip	34	14
flip	34	14
flip	33	0
flip	35	2
flip	35	2
flip	35	2
flip	35	2
flip	35	2
flip	35	2
flip	35	2
flip	34	14
flip	34	14
flip	34	14
flip	34	14
flip	34	14
flip	34	14
flip	34	14
flip	33	0
flip	35	2
flip	35	2
flip	35	2
flip	35	2
flip	35	2
flip	35	2
flip	35	2
flip	34	14
flip	34	14
flip	34	14
flip	34	14
flip	34	14
flip	34	14
flip	34	14
flip	35	2
flip	34	14
flip	34	14
flip	34	14
flip	34	14
flip	34	14
flip	34	14
flip	34	14
flip	35	2
flip	34	14
flip	34	14
flip	34	14
flip	34	14
flip	34	14
flip	34	14
flip	34	14
flip	35	2
flip	34	14
flip	34	14
flip	34	14
flip	34	14
flip	34	14
flip	34	14
flip	34	14
flip	35	2
flip	34	14
flip	34	14
flip	34	14
flip	34	14
flip	34	14
flip	34	14
flip	34	14
flip	35	2
flip	34	14
flip	34	14
flip	34	14
flip	34	14
flip	34	14
flip	34	14
flip	34	14
flip	35	2
flip	34	14
flip	34	14
flip	34	14
flip	34	14
flip	34	14
flip	34	14
flip	34	14
flip	35	2
flip	34	14
flip	34	14
flip	34	14
flip	34	14
flip	34	14
flip	34	14
flip	34	14
flip	35	2
flip	34	14
flip	34	14
flip	34	14
flip	34	14
flip	34	14
flip	34	14
flip	34	14
flip	35	2
flip	34	14
flip	34	14
flip	34	14
flip	34	14
flip	34	14
flip	34	14
flip	34	14
flip	35	2
flip	34	14
flip	34	14
flip	34	14
flip	34	14
flip	34	14
flip	34	14
flip	34	14
flip	35	2
flip	34	14
flip	34	14
flip	34	14
flip	34	14
flip	34	14
flip	34	14
flip	34	14
flip	35	2
flip	34	14
flip	34	14
flip	34	14
flip	34	14
flip	34	14
flip	34	14
flip	34	14
flip	34	14
flip	34	14
flip	34	14
flip	35	2
flip	34	14
flip	34	14
flip	34	14
flip	34	14
flip	34	14
flip	34	14
flip	34	14
flip	35	2
flip	34	14
flip	34	14
flip	34	14
flip	34	14
flip	34	14
flip	34	14
flip	34	14
flip	34	14
flip	34	14
flip	34	14
flip	34	14
flip	34	14
flip	34	14
flip	34	14
flip	34	14
flip	34	14
flip	34	14
flip	34	14
ceiling_keep	360	1
ceiling_keep	354	1
ceiling_keep	351	1
ceiling_keep	342	1
ceiling_keep	324	1
ceiling_keep	309	1
ceiling_keep	297	1
ceiling_keep	282	1
ceiling_keep	276	1
ceiling_keep	376	0
ceiling_keep	267	1
ceiling_keep	261	1
ceiling_keep	374	0
ceiling_keep	258	1
ceiling_keep	377	0
ceiling_keep	363	1
ceiling_keep	388	0
ceiling_keep	357	1
ceiling_keep	345	1
ceiling_keep	327	1
ceiling_keep	312	1
ceiling_keep	300	1
ceiling_keep	285	1
ceiling_keep	279	1
ceiling_keep	407	0
ceiling_keep	270	1
ceiling_keep	264	1
ceiling_keep	394	0
ceiling_keep	393	0
ceiling_keep	380	0
step	410	61
step	410	61
step	410	61
step	410	61
step	410	61
step	410	61
step	410	61
step	410	61
step	410	61
step	410	61
step	410	61
step	410	61
step	410	61
flip	82	57
step	410	61
flip	82	57
flip	82	57
flip	82	57
flip	82	57
flip	82	57
flip	82	57
flip	82	57
flip	82	57
flip	82	57
flip	82	57
flip	82	57
flip	82	57
flip	82	57
step	410	61
step	410	61
step	410	61
step	410	61
step	410	61
step	410	61
step	410	61
flip	82	57
flip	82	57
flip	82	57
flip	82	57
flip	82	57
flip	82	57
flip	82	57
step	410	61
step	410	61
step	410	61
step	410	61
step	410	61
step	410	61
step	410	61
flip	82	57
flip	82	57
flip	82	57
step	410	61
flip	82	57
flip	82	57
flip	82	57
flip	82	57
step	410	61
step	410	61
step	410	61
step	410	61
step	410	61
step	410	61
flip	82	57
flip	82	57
flip	82	57
flip	82	57
flip	82	57
flip	82	57
step	410	61
flip	82	57
step	410	61
step	410	61
step	410	61
step	410	61
step	410	61
step	410	61
flip	82	57
flip	82	57
flip	82	57
flip	82	57
flip	82	57
flip	82	57
flip	82	57
step	410	61
flip	82	57
flip	82	57
flip	82	57
flip	82	57
flip	82	57
step	410	61
flip	82	57
flip	82	57
flip	82	57
flip	82	57
flip	82	57
flip	82	57
flip	82	57
flip	82	57
flip	82	57
flip	82	57
flip	82	57
flip	82	57
flip	82	57
flip	82	57
flip	82	57
flip	82	57
flip	82	57
flip	82	57
flip	82	57
flip	82	57
flip	82	57
flip	82	57
flip	82	57
flip	82	57
flip	82	57
flip	82	57
flip	82	57
flip	82	57
flip	82	57
flip	82	57
flip	82	57
flip	82	57
flip	82	57
flip	82	57
flip	82	57
flip	82	57
flip	82	57
flip	82	57
flip	82	57
flip	82	57
flip	82	57
flip	82	57
flip	82	57
flip	82	57
flip	82	57
flip	82	57
flip	82	57
flip	82	57
flip	82	57
flip	82	57
flip	82	57
flip	82	57
flip	82	57
flip	82	57
flip	82	57
flip	82	57
flip	82	57
flip	82	57
flip	82	57
flip	82	57
flip	82	57
flip	82	57
flip	82	57
flip	82	57
flip	82	57
flip	82	57
flip	82	57
flip	82	57
flip	82	57
flip	82	57
flip	82	57
flip	82	57
flip	82	57
flip	82	57
flip	82	57
flip	82	57
flip	82	57
flip	82	57
flip	82	57
flip	82	57
flip	82	57
flip	82	57
flip	82	57
flip	82	57
flip	82	57
